No_x,Compound,Best Mode,Affinity (kcal/mol),CNN Pose Score,CNN Affinity,No_y,Best Pose,PLANTS Score
1,Asparanin_B,8,-11.71,0.4279,6.173,10,Asparanin_B_spores_entry_00001_conf_01,-93.7583
2,Albanol_A,8,-11.03,0.415,6.379,7,Albanol_A_spores_entry_00001_conf_01,-97.298
3,Gambiriin_A3,4,-10.87,0.4467,6.578,3,Gambiriin_A3_spores_entry_00001_conf_01,-111.663
4,Isoorientin_7-glucoside,4,-10.52,0.3305,5.355,13,Isoorientin_7-glucoside_spores_entry_00001_conf_01,-92.8857
5,Orcein,1,-10.51,0.6733,6.61,22,Orcein_spores_entry_00001_conf_01,-87.4162
6,Xanthoaphin,9,-10.2,0.469,5.585,27,Xanthoaphin_spores_entry_00001_conf_01,-85.4246
7,Campesteryl_p-coumarate,7,-10.14,0.3661,6.731,11,Campesteryl_p-coumarate_spores_entry_00001_conf_01,-93.6164
8,Pedaliin,2,-9.98,0.6831,5.703,34,Pedaliin_spores_entry_00001_conf_01,-83.1217
9,Quercetin,2,-9.95,0.6875,5.443,62,Quercetin_spores_entry_00001_conf_01,-74.7275
10,Epigallocatechin,1,-9.86,0.759,5.461,15,Epigallocatechin_spores_entry_00001_conf_01,-91.1878
11,Catechin_gallate,8,-9.82,0.5905,5.92,21,Catechin_gallate_spores_entry_00001_conf_01,-87.693
12,Catechin,3,-9.81,0.6811,5.115,8,Catechin_spores_entry_00001_conf_01,-95.9081
14,Epicatechin_gallate,2,-9.64,0.6177,5.442,6,Epicatechin_gallate_spores_entry_00001_conf_01,-98.8714
15,Kaempferol,8,-9.36,0.5788,5.085,36,Kaempferol_spores_entry_00001_conf_01,-83.0583
16,Chrysin,2,-9.3,0.6176,4.912,20,Chrysin_spores_entry_00001_conf_01,-87.8062
17,Phaeophorbide_a,8,-9.29,0.3501,6.651,9,Phaeophorbide_a_spores_entry_00001_conf_01,-94.2563
18,Belladonnine,4,-9.27,0.4559,6.433,18,Belladonnine_spores_entry_00001_conf_01,-90.0085
19,Myricitrin,4,-9.27,0.5141,5.214,82,Myricitrin_spores_entry_00001_conf_01,-69.3454
20,Auriculine,9,-9.25,0.3052,5.513,4,Auriculine_spores_entry_00001_conf_01,-99.5105
21,Hordatine_A,7,-9.2,0.3725,6.079,1,Hordatine_A_spores_entry_00001_conf_01,-119.114
22,Yohimbine,3,-9.2,0.5511,5.677,25,Yohimbine_spores_entry_00001_conf_01,-86.296
23,Hyperoside,4,-9.15,0.5556,5.384,76,Hyperoside_spores_entry_00001_conf_01,-70.4286
24,Erythromycin_E,3,-9.14,0.6481,6.526,68,Erythromycin_E_spores_entry_00001_conf_01,-72.6986
25,Saphenamycin,1,-9.12,0.8315,6.135,56,Saphenamycin_spores_entry_00001_conf_01,-75.8632
26,Americanin_B,4,-9.11,0.5661,5.301,12,Americanin_B_spores_entry_00001_conf_01,-93.4696
27,Sitagliptin,5,-9.02,0.3091,5.566,16,Sitagliptin_spores_entry_00001_conf_01,-90.6919
28,Aurasperone_D,7,-8.81,0.1966,6.32,47,Aurasperone_D_spores_entry_00001_conf_01,-78.699
29,Dulxanthone_B,4,-8.8,0.5181,6.206,5,Dulxanthone_B_spores_entry_00001_conf_01,-99.2306
30,Quercetin_hexoside,7,-8.79,0.4169,4.567,81,Quercetin_hexoside_spores_entry_00001_conf_01,-69.823
31,Naptho_2_3-c_furan-1_3H_-one_derivative,5,-8.76,0.5385,3.93,52,Naptho_2_3-c_furan-1_3H_-one_derivative_spores_entry_00001_conf_01,-77.4852
32,Allosamidine,3,-8.73,0.5021,4.726,30,Allosamidine_spores_entry_00001_conf_01,-84.3188
33,Phaeophorbide_b,3,-8.73,0.4764,6.933,19,Phaeophorbide_b_spores_entry_00001_conf_01,-89.2697
34,Glyceryl_lactopalmitate,2,-8.54,0.4356,6.41,58,Glyceryl_lactopalmitate_spores_entry_00001_conf_01,-75.3884
35,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose,4,-8.54,0.5486,4.195,33,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose_spores_entry_00001_conf_01,-83.2954
36,Flavidulol_C,5,-8.38,0.2497,5.997,32,Flavidulol_C_spores_entry_00001_conf_01,-83.4411
37,Crosatoside_B,5,-8.37,0.51,4.136,17,Crosatoside_B_spores_entry_00001_conf_01,-90.3139
38,Cytochalasin_N,2,-8.29,0.615,5.873,65,Cytochalasin_N_spores_entry_00001_conf_01,-73.7006
39,Native_Ligand,2,-8.24,0.7485,6.768,67,Native_Ligand_spores_entry_00001_conf_01,-72.7689
40,Euphornin,7,-8.24,0.3679,6.026,85,Euphornin_spores_entry_00001_conf_01,-66.2236
41,Maritimetin,1,-8.18,0.8462,5.26,39,Maritimetin_spores_entry_00001_conf_01,-81.2954
42,Androsterone,5,-8.11,0.5457,5.204,92,Androsterone_spores_entry_00001_conf_01,-63.4147
43,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-,2,-8.03,0.6786,5.725,45,4H-1-Benzopyran-4-one__3-hydroxy-2-phenyl-_spores_entry_00001_conf_01,-79.2239
44,Corynan-17-ol__18_19-didehydro-10-methoxy-__acetate,2,-7.84,0.5278,6.089,44,Corynan-17-ol__18_19-didehydro-10-methoxy-__acetate_spores_entry_00001_conf_01,-80.4374
45,Rehmaionoside_C,2,-7.83,0.474,4.676,53,Rehmaionoside_C_spores_entry_00001_conf_01,-76.6238
