No_x,Compound,Affinity (kcal/mol),CNN Pose Score,CNN Affinity,No_y,Best Pose,PLANTS Score
46,Flavidulol_C,-7.61,0.4371,6.059,32,Flavidulol_C_spores_entry_00001_conf_01,-83.4411
47,Flavone,-6.28,0.6099,3.782,48,Flavone_spores_entry_00001_conf_01,-78.6838
48,Gallic_acid,-6.11,0.6774,4.061,59,Gallic_acid_spores_entry_00001_conf_01,-74.9377
49,Gambiriin_A3,-8.67,0.5605,6.195,3,Gambiriin_A3_spores_entry_00001_conf_01,-111.663
50,Glyceryl_lactopalmitate,-7.83,0.4676,5.815,58,Glyceryl_lactopalmitate_spores_entry_00001_conf_01,-75.3884
51,Glycophymoline,-5.36,0.8077,4.649,60,Glycophymoline_spores_entry_00001_conf_01,-74.8829
52,Heneicosanoic_acid__methyl_ester,-4.42,0.4629,5.169,23,Heneicosanoic_acid__methyl_ester_spores_entry_00001_conf_01,-87.0967
53,Hordatine_A,-7.16,0.7406,6.294,1,Hordatine_A_spores_entry_00001_conf_01,-119.114
54,Hyperoside,-7.33,0.7419,5.603,76,Hyperoside_spores_entry_00001_conf_01,-70.4286
55,Isoorientin_7-glucoside,-9.09,0.5727,5.414,13,Isoorientin_7-glucoside_spores_entry_00001_conf_01,-92.8857
56,Jasmolone_glucoside,-6.25,0.8048,4.229,26,Jasmolone_glucoside_spores_entry_00001_conf_01,-85.7594
57,Kaempferol,-6.75,0.7315,4.977,36,Kaempferol_spores_entry_00001_conf_01,-83.0583
58,Leukotriene_F4,-6.08,0.4254,5.694,2,Leukotriene_F4_spores_entry_00001_conf_01,-114.193
59,Maritimetin,-8.18,0.8462,5.26,39,Maritimetin_spores_entry_00001_conf_01,-81.2954
60,Mecarbinzid,-6.08,0.739,5.224,64,Mecarbinzid_spores_entry_00001_conf_01,-73.8081
61,Methoxyacetic_acid__heptadecyl_ester,-5.23,0.6061,5.527,24,Methoxyacetic_acid__heptadecyl_ester_spores_entry_00001_conf_01,-86.4692
62,Methyl-7-oxopentadecanoate,-4.89,0.6651,5.41,57,Methyl-7-oxopentadecanoate_spores_entry_00001_conf_01,-75.8153
63,Methyl_N-methylanthranilate,-5.59,0.781,3.72,70,Methyl_N-methylanthranilate_spores_entry_00001_conf_01,-72.0559
64,Miserotoxin,-6.75,0.874,4.739,50,Miserotoxin_spores_entry_00001_conf_01,-77.8711
65,Myricitrin,-8.2,0.7523,5.49,82,Myricitrin_spores_entry_00001_conf_01,-69.3454
66,Naptho_2_3-c_furan-1_3H_-one_derivative,-6.26,0.6743,3.653,52,Naptho_2_3-c_furan-1_3H_-one_derivative_spores_entry_00001_conf_01,-77.4852
67,Native_Ligand,-7.69,0.8893,6.504,67,Native_Ligand_spores_entry_00001_conf_01,-72.7689
68,Nonadecane-2_4-dione,-5.67,0.4812,5.452,38,Nonadecane-2_4-dione_spores_entry_00001_conf_01,-82.9926
69,Oleic_acid,-4.92,0.597,4.939,41,Oleic_acid_spores_entry_00001_conf_01,-81.1196
70,Oleic_acid__methyl_ester,-4.64,0.5645,5.197,35,Oleic_acid__methyl_ester_spores_entry_00001_conf_01,-83.0716
71,Orcein,-10.51,0.6733,6.61,22,Orcein_spores_entry_00001_conf_01,-87.4162
72,Oxirane___hexadecyloxy_methyl-,-4.88,0.5479,4.956,42,Oxirane___hexadecyloxy_methyl-_spores_entry_00001_conf_01,-80.5426
73,Pedaliin,-8.36,0.6917,5.207,34,Pedaliin_spores_entry_00001_conf_01,-83.1217
74,Phaeophorbide_a,-8.45,0.6878,6.94,9,Phaeophorbide_a_spores_entry_00001_conf_01,-94.2563
75,Phaeophorbide_b,-7.07,0.7166,6.906,19,Phaeophorbide_b_spores_entry_00001_conf_01,-89.2697
76,Phytol,-5.13,0.3974,5.383,46,Phytol_spores_entry_00001_conf_01,-78.9657
77,Piperazine__1_4-di_thiobenzoyl_-,-7.79,0.8969,6.278,95,Piperazine__1_4-di_thiobenzoyl_-_spores_entry_00001_conf_01,-55.0109
78,Piperidine__1-hydroxy-,-4.54,0.7443,4.22,96,Piperidine__1-hydroxy-_spores_entry_00001_conf_01,-54.381
79,Pirbuterol,-6.13,0.5554,4.239,63,Pirbuterol_spores_entry_00001_conf_01,-74.2602
80,Propanol__2_2-dimethyl-__oxime,-3.08,0.7793,3.107,97,Propanol__2_2-dimethyl-__oxime_spores_entry_00001_conf_01,-51.3775
81,Quercetin,-7.2,0.7733,4.892,62,Quercetin_spores_entry_00001_conf_01,-74.7275
82,Quercetin_hexoside,-7.56,0.5527,5.055,81,Quercetin_hexoside_spores_entry_00001_conf_01,-69.823
83,Rehmaionoside_C,-5.99,0.5014,4.729,53,Rehmaionoside_C_spores_entry_00001_conf_01,-76.6238
84,Resorcinol,-4.48,0.8258,3.306,93,Resorcinol_spores_entry_00001_conf_01,-62.3896
85,Retapamulin,-7.05,0.5566,6.262,37,Retapamulin_spores_entry_00001_conf_01,-83.0355
86,Saphenamycin,-9.12,0.8315,6.135,56,Saphenamycin_spores_entry_00001_conf_01,-75.8632
87,Sitagliptin,-8.71,0.6768,6.824,16,Sitagliptin_spores_entry_00001_conf_01,-90.6919
88,Theacrine,-4.78,0.7985,4.242,79,Theacrine_spores_entry_00001_conf_01,-70.2031
89,Theanine,-4.06,0.8582,3.33,61,Theanine_spores_entry_00001_conf_01,-74.7985
90,Theobromine,-6.81,0.8795,4.712,69,Theobromine_spores_entry_00001_conf_01,-72.3702
91,Theophylline,-4.67,0.8679,3.919,72,Theophylline_spores_entry_00001_conf_01,-71.0871
92,Thujopsene-_12_,-5.09,0.6195,4.601,94,Thujopsene-_12__spores_entry_00001_conf_01,-58.7849
93,Undecanoic_acid__10-methyl-__methyl_ester,-4.23,0.672,4.256,71,Undecanoic_acid__10-methyl-__methyl_ester_spores_entry_00001_conf_01,-71.9008
94,Vanillic_acid,-4.78,0.8598,3.648,77,Vanillic_acid_spores_entry_00001_conf_01,-70.3294
95,Xanthoaphin,-9.95,0.6786,6.006,27,Xanthoaphin_spores_entry_00001_conf_01,-85.4246
96,Yohimbine,-7.12,0.7498,5.641,25,Yohimbine_spores_entry_00001_conf_01,-86.296
97,Z_Z-8_10-Hexadecadien-1-ol,-4.56,0.5579,4.594,51,Z_Z-8_10-Hexadecadien-1-ol_spores_entry_00001_conf_01,-77.7648
98,___-Gallocatechin,-6.95,0.7089,4.486,14,___-Gallocatechin_spores_entry_00001_conf_01,-92.1936
99,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose,-7.71,0.773,3.827,33,β-D-Galactopyranosyl-_1_4_-β-D-galactopyranosyl-_1_4_-D-galactose_spores_entry_00001_conf_01,-83.2954
